Season,Date,ConstructorName,Points
2007,2007-08-01,BMW Sauber,16.0
2007,2007-09-01,BMW Sauber,15.0
2007,2007-10-01,BMW Sauber,9.0
2008,2008-03-01,BMW Sauber,19.0
2008,2008-04-01,BMW Sauber,16.0
2008,2008-05-01,BMW Sauber,17.0
2008,2008-06-01,BMW Sauber,22.0
2008,2008-07-01,BMW Sauber,15.0
2008,2008-08-01,BMW Sauber,7.0
2008,2008-09-01,BMW Sauber,24.0
2008,2008-10-01,BMW Sauber,15.0
2008,2008-11-01,BMW Sauber,0.0
2009,2009-03-01,BMW Sauber,0.0
2009,2009-04-01,BMW Sauber,4.0
2009,2009-05-01,BMW Sauber,2.0
2009,2009-06-01,BMW Sauber,2.0
2009,2009-07-01,BMW Sauber,0.0
2009,2009-08-01,BMW Sauber,10.0
2009,2009-09-01,BMW Sauber,3.0
2009,2009-10-01,BMW Sauber,11.0
2009,2009-11-01,BMW Sauber,4.0
1975,1975-01-01,Williams,0.0
1975,1975-03-01,Williams,0.0
1975,1975-04-01,Williams,0.0
1975,1975-05-01,Williams,0.0
1975,1975-06-01,Williams,0.0
1975,1975-07-01,Williams,0.0
1975,1975-08-01,Williams,6.0
1975,1975-09-01,Williams,0.0
1975,1975-10-01,Williams,0.0
1976,1976-01-01,Williams,0.0
1976,1976-05-01,Williams,0.0
1978,1978-01-01,Williams,0.0
1978,1978-03-01,Williams,3.0
1978,1978-04-01,Williams,0.0
1978,1978-05-01,Williams,0.0
1978,1978-06-01,Williams,0.0
1978,1978-07-01,Williams,2.0
1978,1978-08-01,Williams,0.0
1978,1978-09-01,Williams,0.0
1978,1978-10-01,Williams,6.0
1979,1979-01-01,Williams,0.0
1979,1979-02-01,Williams,0.0
1979,1979-03-01,Williams,0.0
1979,1979-04-01,Williams,4.0
1979,1979-05-01,Williams,6.0
1979,1979-07-01,Williams,28.0
1979,1979-08-01,Williams,20.0
1979,1979-09-01,Williams,17.0
1979,1979-10-01,Williams,0.0
1980,1980-01-01,Williams,13.0
1980,1980-03-01,Williams,2.0
1980,1980-05-01,Williams,19.0
1980,1980-06-01,Williams,10.0
1980,1980-07-01,Williams,13.0
1980,1980-08-01,Williams,23.0
1980,1980-09-01,Williams,25.0
1980,1980-10-01,Williams,15.0
1981,1981-03-01,Williams,30.0
1981,1981-04-01,Williams,9.0
1981,1981-05-01,Williams,19.0
1981,1981-06-01,Williams,3.0
1981,1981-07-01,Williams,6.0
1981,1981-08-01,Williams,9.0
1981,1981-09-01,Williams,10.0
1981,1981-10-01,Williams,9.0
1982,1982-01-01,Williams,8.0
1982,1982-03-01,Williams,0.0
1982,1982-04-01,Williams,6.0
1982,1982-05-01,Williams,7.0
1982,1982-06-01,Williams,5.0
1982,1982-07-01,Williams,10.0
1982,1982-08-01,Williams,19.0
1982,1982-09-01,Williams,3.0
1983,1983-03-01,Williams,6.0
1983,1983-04-01,Williams,3.0
1983,1983-05-01,Williams,15.0
1983,1983-06-01,Williams,11.0
1983,1983-07-01,Williams,0.0
1983,1983-08-01,Williams,1.0
1983,1983-09-01,Williams,0.0
1983,1983-10-01,Williams,2.0
1984,1984-03-01,Williams,6.0
1984,1984-04-01,Williams,3.0
1984,1984-05-01,Williams,1.0
1984,1984-06-01,Williams,3.5
1984,1984-07-01,Williams,12.0
1984,1984-08-01,Williams,0.0
1984,1984-09-01,Williams,0.0
1984,1984-10-01,Williams,0.0
1985,1985-04-01,Williams,2.0
1985,1985-05-01,Williams,2.0
1985,1985-06-01,Williams,13.0
1985,1985-07-01,Williams,6.0
1985,1985-08-01,Williams,2.0
1985,1985-09-01,Williams,9.0
1985,1985-10-01,Williams,28.0
1985,1985-11-01,Williams,9.0
1986,1986-03-01,Williams,9.0
1986,1986-04-01,Williams,12.0
1986,1986-05-01,Williams,12.0
1986,1986-06-01,Williams,15.0
1986,1986-07-01,Williams,41.0
1986,1986-08-01,Williams,13.0
1986,1986-09-01,Williams,28.0
1986,1986-10-01,Williams,11.0
1987,1987-04-01,Williams,7.0
1987,1987-05-01,Williams,15.0
1987,1987-06-01,Williams,8.0
1987,1987-07-01,Williams,39.0
1987,1987-08-01,Williams,24.0
1987,1987-09-01,Williams,29.0
1987,1987-10-01,Williams,15.0
1987,1987-11-01,Williams,0.0
1988,1988-04-01,Williams,0.0
1988,1988-05-01,Williams,1.0
1988,1988-06-01,Williams,0.0
1988,1988-07-01,Williams,6.0
1988,1988-08-01,Williams,1.0
1988,1988-09-01,Williams,0.0
1988,1988-10-01,Williams,9.0
1988,1988-11-01,Williams,3.0
1989,1989-03-01,Williams,0.0
1989,1989-04-01,Williams,3.0
1989,1989-05-01,Williams,6.0
1989,1989-06-01,Williams,22.0
1989,1989-07-01,Williams,7.0
1989,1989-08-01,Williams,7.0
1989,1989-09-01,Williams,7.0
1989,1989-10-01,Williams,12.0
1989,1989-11-01,Williams,13.0
1990,1990-03-01,Williams,6.0
1990,1990-05-01,Williams,12.0
1990,1990-06-01,Williams,2.0
1990,1990-07-01,Williams,10.0
1990,1990-08-01,Williams,12.0
1990,1990-09-01,Williams,7.0
1990,1990-10-01,Williams,5.0
1990,1990-11-01,Williams,3.0
1991,1991-03-01,Williams,6.0
1991,1991-04-01,Williams,0.0
1991,1991-05-01,Williams,6.0
1991,1991-06-01,Williams,21.0
1991,1991-07-01,Williams,38.0
1991,1991-08-01,Williams,12.0
1991,1991-09-01,Williams,34.0
1991,1991-10-01,Williams,4.0
1991,1991-11-01,Williams,4.0
1992,1992-03-01,Williams,32.0
1992,1992-04-01,Williams,16.0
1992,1992-05-01,Williams,36.0
1992,1992-06-01,Williams,0.0
1992,1992-07-01,Williams,42.0
1992,1992-08-01,Williams,16.0
1992,1992-09-01,Williams,12.0
1992,1992-10-01,Williams,10.0
1992,1992-11-01,Williams,0.0
1993,1993-03-01,Williams,16.0
1993,1993-04-01,Williams,20.0
1993,1993-05-01,Williams,19.0
1993,1993-06-01,Williams,14.0
1993,1993-07-01,Williams,36.0
1993,1993-08-01,Williams,24.0
1993,1993-09-01,Williams,20.0
1993,1993-10-01,Williams,9.0
1993,1993-11-01,Williams,10.0
1994,1994-03-01,Williams,6.0
1994,1994-04-01,Williams,0.0
1994,1994-05-01,Williams,11.0
1994,1994-06-01,Williams,8.0
1994,1994-07-01,Williams,18.0
1994,1994-08-01,Williams,19.0
1994,1994-09-01,Williams,27.0
1994,1994-10-01,Williams,6.0
1994,1994-11-01,Williams,23.0
1995,1995-03-01,Williams,6.0
1995,1995-04-01,Williams,23.0
1995,1995-05-01,Williams,9.0
1995,1995-06-01,Williams,0.0
1995,1995-07-01,Williams,20.0
1995,1995-08-01,Williams,22.0
1995,1995-09-01,Williams,14.0
1995,1995-10-01,Williams,14.0
1995,1995-11-01,Williams,10.0
1996,1996-03-01,Williams,26.0
1996,1996-04-01,Williams,29.0
1996,1996-05-01,Williams,10.0
1996,1996-06-01,Williams,36.0
1996,1996-07-01,Williams,24.0
1996,1996-08-01,Williams,24.0
1996,1996-09-01,Williams,16.0
1996,1996-10-01,Williams,10.0
1997,1997-03-01,Williams,10.0
1997,1997-04-01,Williams,20.0
1997,1997-05-01,Williams,10.0
1997,1997-06-01,Williams,12.0
1997,1997-07-01,Williams,10.0
1997,1997-08-01,Williams,16.0
1997,1997-09-01,Williams,34.0
1997,1997-10-01,Williams,11.0
1998,1998-03-01,Williams,8.0
1998,1998-04-01,Williams,5.0
1998,1998-05-01,Williams,3.0
1998,1998-06-01,Williams,3.0
1998,1998-07-01,Williams,1.0
1998,1998-08-01,Williams,13.0
1998,1998-09-01,Williams,2.0
1998,1998-11-01,Williams,3.0
1999,1999-03-01,Williams,4.0
1999,1999-04-01,Williams,3.0
1999,1999-05-01,Williams,2.0
1999,1999-06-01,Williams,6.0
1999,1999-07-01,Williams,4.0
1999,1999-08-01,Williams,5.0
1999,1999-09-01,Williams,9.0
1999,1999-10-01,Williams,2.0
2000,2000-03-01,Williams,7.0
2000,2000-04-01,Williams,5.0
2000,2000-05-01,Williams,3.0
2000,2000-06-01,Williams,0.0
2000,2000-07-01,Williams,7.0
2000,2000-08-01,Williams,8.0
2000,2000-09-01,Williams,4.0
2000,2000-10-01,Williams,2.0
2001,2001-03-01,Williams,2.0
2001,2001-04-01,Williams,16.0
2001,2001-05-01,Williams,0.0
2001,2001-06-01,Williams,19.0
2001,2001-07-01,Williams,19.0
2001,2001-08-01,Williams,3.0
2001,2001-09-01,Williams,14.0
2001,2001-10-01,Williams,7.0
2002,2002-03-01,Williams,30.0
2002,2002-04-01,Williams,13.0
2002,2002-05-01,Williams,11.0
2002,2002-06-01,Williams,3.0
2002,2002-07-01,Williams,19.0
2002,2002-08-01,Williams,4.0
2002,2002-09-01,Williams,9.0
2002,2002-10-01,Williams,3.0
2003,2003-03-01,Williams,14.0
2003,2003-04-01,Williams,9.0
2003,2003-05-01,Williams,12.0
